Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
a wood chuck can't chuck any kind of wood	None				false		0
a wood chuck can't chuck wood	None				false		0
are you wearing anything?	None				false		0
can i arrange a taxi	None				false		0
can i book a taxi?	None				false		0
can i order a pizza?	None				false		0
give quiche a chance	None				false		0
how much wood could a wood chuck chuck if a wood chuck would chuck wood?	None				false		0
i am heavy weapons guy and this is my weapon	None				false		0
i know kung-fu	None				false		0
i need a taxi	None				false		0
i want a pepperoni pizza	None				false		0
i want to order a pizza	None				false		0
i'd like a pizza please	None				false		0
i'm all out of bubblegum	None				false		0
i'm asking you to marry me	None				false		0
it's an albany expression	None				false		0
marry me	None				false		0
now i have a machine gun ho-ho-ho!	None				false		0
please marry me	None				false		0
tell me what you're wearing?	None				false		0
trial by stone!	None				false		0
what are you wearing?	None				false		0
will you marry me?	None				false		0
you come to me on the day of my daughter's wedding	None				false		0
you don't win friends with salad	None				false		0
you're going to need a bigger boat	None				false		0
am a talking with a bot?	smalltalk_human				false		0
am i speaking to a bot?	smalltalk_human				false		0
am i talking to a bot?	smalltalk_human				false		0
am i talking to a human?	smalltalk_human				false		0
am i talking to a person?	smalltalk_human				false		0
am i talking to a real person?	smalltalk_human				false		0
am i talking to a robot?	smalltalk_human				false		0
are you a human?	smalltalk_human				false		0
are you a real person?	smalltalk_human				false		0
are you real?	smalltalk_human				false		0
can i contact a human being?	smalltalk_human				false		0
i don't want to speak with a bot	smalltalk_human				false		0
i don't want to talk	smalltalk_human				false		0
i don't want to talk to a chatbot	smalltalk_human				false		0
i don't want to talk with a chatbot	smalltalk_human				false		0
i'd like to speak to a person	smalltalk_human				false		0
is this a person?	smalltalk_human				false		0
is this a real person or a bot?	smalltalk_human				false		0
who am i talking to?	smalltalk_human				false		0
you real?	smalltalk_human				false		0
am i going to die?	faq_symptoms				false		0
am i going to need hospital treatment?	faq_symptoms				false		0
are aches a symptom?	faq_symptoms				false		0
are the symptoms serious?	faq_symptoms				false		0
can i still have it but have no symptoms?	faq_symptoms				false		0
can people die from contacting covid-19?	faq_symptoms				false		0
can people die from coronavirus?	faq_symptoms				false		0
can there be complications from covid-19 symptoms?	faq_symptoms				false		0
can you be infected and not show any symptoms?	faq_symptoms				false		0
can you tell me what the symptoms are?	faq_symptoms				false		0
could i be carrying coronavirus if i don't have symptoms?	faq_symptoms				false		0
does everyone have symptoms?	faq_symptoms				false		0
how badly should i be coughing?	faq_symptoms				false		0
how can i identify the symptoms of corona?	faq_symptoms				false		0
how can i tell if i have corona virus?	faq_symptoms				false		0
how do i know i have covid-19?	faq_symptoms				false		0
how do i know i might be a carrier?	faq_symptoms				false		0
how do i know i might have it?	faq_symptoms				false		0
how do i know if i have it?	faq_symptoms				false		0
how do i know if i need hospital treatment?	faq_symptoms				false		0
how do i know if i'm a carrier of covid-19?	faq_symptoms				false		0
how do i know if i've caught coronavirus?	faq_symptoms				false		0
how high does my fever have to be for me to go to hospital?	faq_symptoms				false		0
how is your body affected by corona?	faq_symptoms				false		0
how long do i have to be sick for before i can go to a clinic?	faq_symptoms				false		0
how long should i have a fever for?	faq_symptoms				false		0
how severe do my symptoms have to be before i go to hospital?	faq_symptoms				false		0
i'm coughing, what should i do?	faq_symptoms				false		0
is a symptom?	faq_symptoms				false		0
is coughing a symptom of the disease?	faq_symptoms				false		0
is joint pain a symptom?	faq_symptoms				false		0
should i go to a health centre if i have symptoms?	faq_symptoms				false		0
what are the signs and symptoms?	faq_symptoms				false		0
what are the signs of corona?	faq_symptoms				false		0
what are the signs of covid-19?	faq_symptoms				false		0
what are the signs?	faq_symptoms				false		0
what are the symptoms?	faq_symptoms				false		0
what counts as a high temperature?	faq_symptoms				false		0
what do aches and pains mean?	faq_symptoms				false		0
what do the symptoms look like?	faq_symptoms				false		0
what does asymptomatic mean?	faq_symptoms				false		0
what does dry cough mean?	faq_symptoms				false		0
what does having corona feel like?	faq_symptoms				false		0
what does having corona virus feel like?	faq_symptoms				false		0
what does having the virus feel like?	faq_symptoms				false		0
what does it mean if i'm coughing?	faq_symptoms				false		0
what does it mean to be asymptomatic?	faq_symptoms				false		0
what does persistent cough mean?	faq_symptoms				false		0
what does the virus do to your body?	faq_symptoms				false		0
what is a dry cough?	faq_symptoms				false		0
what is a fever?	faq_symptoms				false		0
what is an asymptomatic carrier?	faq_symptoms				false		0
what is different about a dry cough?	faq_symptoms				false		0
what should i do if i think i have it?	faq_symptoms				false		0
what should i do if i think i might have corona virus?	faq_symptoms				false		0
what signs of covid-19 should i look for?	faq_symptoms				false		0
what temperature is a fever?	faq_symptoms				false		0
when do i need to go to a clinic?	faq_symptoms				false		0
when is a cough persistent?	faq_symptoms				false		0
when should i go to hospital?	faq_symptoms				false		0
when should i go to the emergency room?	faq_symptoms				false		0
am i immune once i've been vaccinated?	faq_vaccine				false		0
